title,company,city,salary_min,salary_max,experience_years_min,education,skills,posted_date,source_url,employment_type
金融分析师,华南投资,深圳,12000,22000,2,本科,"Excel,Python,SQL",2026-08-01,https://example.com/jobs/1,全职
数据分析师,湾区科技,深圳,14000,26000,2,本科,"Python,SQL,Tableau",2026-08-02,https://example.com/jobs/2,全职
人力数据分析,人才伙伴,广州,9000,16000,1,本科,"Excel,SQL,Power BI",2026-08-03,https://example.com/jobs/3,全职
财务分析,南方制造,广州,10000,18000,2,本科,"Excel,财务建模,Power BI",2026-08-04,https://example.com/jobs/4,全职
商业分析师,新消费品牌,上海,16000,30000,3,本科,"Python,SQL,商业分析",2026-08-05,https://example.com/jobs/5,全职
战略分析师,产业资本,上海,18000,32000,4,硕士,"Excel,财务建模,商业分析",2026-08-06,https://example.com/jobs/6,全职
招聘运营,人才伙伴,深圳,8000,14000,1,本科,"招聘,Excel,数据分析",2026-08-07,https://example.com/jobs/7,全职
风险分析师,华南投资,北京,15000,28000,3,硕士,"Python,SQL,风险管理",2026-08-08,https://example.com/jobs/8,全职
财务BP,成长企业,北京,13000,24000,3,本科,"Excel,财务建模,经营分析",2026-08-09,https://example.com/jobs/9,全职
组织发展专员,人才伙伴,广州,10000,17000,2,本科,"数据分析,Excel,人力资源",2026-08-10,https://example.com/jobs/10,全职
